id;institutionType;name;localization;website;email;phone;capacity;kidsEnrolled;basicPricePerMonth;extendedStayOver10H;basicPricePerHour;foodPricePerMonth;foodPricePerDay;discounts;openingHours;isAdaptedToDisabledChildren;operatingEntityName;operatingEntityAddress;operatingEntityNIP;operatingEntityREGON;operatingEntityRegNoPosition;operatingEntityWebsite;businessActivitySuspended;voivodeship;county;city;address;latitude;longitude
11;Żłobek;"Niepubliczny Żłobek ""Tygrysek""";WIELKOPOLSKIE > Powiat Konin > Konin > Konin ul. Akacjowa 5;www.wiosnawsercu.pl;wiosnawsercu@gmil.com;510-520-886, 697-35-15-00;15;15.0;900.0 zł;;;;12.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota 07:00-16:00 ;NIE;"Fundacja ""Wiosna w Sercu""";ul.  Akacjowa 5 62-510 Konin, Konin, miasto;6652880131.0;300907742.0;157/P;www.wiosnawsercu.pl;NIE;WIELKOPOLSKIE ;Powiat Konin ;Konin ;Konin ul. Akacjowa 5;52.24340729999999;18.2479911
12;Żłobek;Żłobek Re-Re-Kum-Kum;ŚWIĘTOKRZYSKIE > Powiat starachowicki > Starachowice > Starachowice ul. Stanisława Staszica 25;www.re-re-kum-kum.pl;re-re-kum-kum@wp.pl;510094775;78;73.0;980.0 zł;;;;17.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 20.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ;TAK;Klub Malucha Re-Re-Kum-Kum s.c.;ul. Stanisława Staszica 25 27-200 Starachowice, Starachowice, miasto;6642135087.0;365445096.0;2087/P;www.re-re-kum-kum.pl;NIE;ŚWIĘTOKRZYSKIE ;Powiat starachowicki ;Starachowice ;Starachowice ul. Stanisława Staszica 25;51.0507893;21.0832921
13;Klub dziecięcy;Kochane Urwisy;MAZOWIECKIE > Powiat grójecki > Grójec > Marianów, wieś Marianów, wieś 19M;www.kochaneurwisy.pl;kochaneurwisy@op.pl;607866401;15;8.0;1700.0 zł;;;;;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:30-17:30 ;TAK;Łukasz Błaszczykowski;;7971540406.0;146296421.0;750/P;www.kochaneurwisy.pl;NIE;MAZOWIECKIE ;Powiat grójecki ;Grójec ;Marianów, wieś Marianów, wieś 19M;51.8725549;20.9023858
14;Żłobek;Żłobek Miejski nr 2 ;DOLNOŚLĄSKIE > Powiat świdnicki > Świdnica > Świdnica ul. Galla Anonima 5;http://www.zlobek2.swidnica.pl;zlobek2@zlobek.swidnica.pl;74 637 90 82;100;100.0;636.0 zł;63.0 zł;;;10.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:30 ;TAK;Gmina Miasto Świdnica;ul.  Armii Krajowej 49 58-100 Świdnica, Świdnica, miasto;8840024797.0;890718314.0;7063/P;www.um.swidnica.pl;NIE;DOLNOŚLĄSKIE ;Powiat świdnicki ;Świdnica ;Świdnica ul. Galla Anonima 5;50.8610311;16.4848719
15;Żłobek;Żłobek Gminny w Głuszycy;DOLNOŚLĄSKIE > Powiat wałbrzyski > Głuszyca > Głuszyca ul. Grunwaldzka 37;www.zlobekgluszyca.pl;zlobek@gluszyca.pl;605616005;45;45.0;580.0 zł;58.0 zł;;;15.9 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ;NIE;Gmina Głuszyca;ul.  Parkowa 9 58-340 Głuszyca, Głuszyca, miasto;8862572750.0;890718248.0;7248/P;;NIE;DOLNOŚLĄSKIE ;Powiat wałbrzyski ;Głuszyca ;Głuszyca ul. Grunwaldzka 37;50.6816689;16.3786793
16;Klub dziecięcy;"""BRZDĄCE NA ŁĄCE"" KLUB MALUCHA I OPIEKA DZIENNA EWELINA BEDNARKIEWICZ";WIELKOPOLSKIE > Powiat kolski > Grzegorzew > Grzegorzew ul. Łąkowa 19;;e.bednarkiewicz90@gmail.com;663320431;15;9.0;1300.0 zł;20.0 zł;;;12.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-16:00 ;NIE;"""BRZDĄCE NA ŁĄCE"" KLUB MALUCHA I OPIEKA DZIENNA EWELINA BEDNARKIEWICZ";;6662089539.0;367289200.0;11406/P;brzdace-grzegorzew.pl;NIE;WIELKOPOLSKIE ;Powiat kolski ;Grzegorzew ;Grzegorzew ul. Łąkowa 19;52.1996232;18.7406167
17;Żłobek;"Żłobek ""Bożego Miłosierdzia""";ŚLĄSKIE > Powiat Zabrze > Zabrze > Zabrze ul. Pawła Majnusza 7;www.dom-rodzina.pl;biuro@dom-rodzina.pl;575-241-606;120;32.0;1090.0 zł;50.0 zł;;;12.0 zł;Zniżka - Rodzina na 5+ obniżenie wyżywienia o 50 % na okres 10 m-cy, opłata wpisowa 3 równe raty co miesiąc: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ;TAK;Caritas Diecezji Gliwickiej;ul. Księcia Ziemowita 2 44-100 Gliwice, Gliwice, miasto;6311008107.0;40022246.0;633/P;www.caritasgliwice.pl;NIE;ŚLĄSKIE ;Powiat Zabrze ;Zabrze ;Zabrze ul. Pawła Majnusza 7;50.3028639;18.7957911
18;Żłobek;Niepubliczny Żłobek Super Bobas;PODLASKIE > Powiat Białystok > Białystok > Białystok ul. Gajowa 79;www.wesoledinusie.pl;kontakt@wesoledinusie.pl;600140533;60;52.0;1450.0 zł;;;;15.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:35-16:45 ;TAK;Lucky Star Ewa Bałtyk;;9661654855.0;200272057.0;2263/P;www.wesoledinusie.pl;NIE;PODLASKIE ;Powiat Białystok ;Białystok ;Białystok ul. Gajowa 79;53.1543035;23.1164365
19;Żłobek;"Żłobek "" Bajkowy Dom""";MAZOWIECKIE > Powiat legionowski > Jabłonna > Jabłonna ul. Modlińska 112;https://przedszkolebajkowydom.pl/;sekretariatbajkowydom@op.pl;601055802;15;15.0;1200.0 zł;50.0 zł;;;20.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;TAK;Ewa Kobus;;5242129792.0;12897707.0;1999/P;;NIE;MAZOWIECKIE ;Powiat legionowski ;Jabłonna ;Jabłonna ul. Modlińska 112;52.3763127;20.9225974
20;Żłobek;"Żłobek Niepubliczny ""A Be Ce Strumyk Wiedzy""";WIELKOPOLSKIE > Powiat wolsztyński > Siedlec > Siedlec ul. Szkolna 2;http://abcstrumykwiedzy.pl/;sekretariat@abcstrumykwiedzy.pl;607 397 165 lub 601 652 051;50;50.0;1150.0 zł;;;;14.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;NIE;"Zakłady Mięsne ""SOBKOWIAK"" Elżbieta Sobkowiak";;9231266197.0;301514252.0;11436/P;http://abcstrumykwiedzy.pl/;NIE;WIELKOPOLSKIE ;Powiat wolsztyński ;Siedlec ;Siedlec ul. Szkolna 2;52.1376218;16.002302
21;Żłobek;Żłobek Gminny w Kłobucku;ŚLĄSKIE > Powiat kłobucki > Kłobuck > Kłobuck ul. Krzysztofa Kamila Baczyńskiego 2;;zlobek@gminaklobuck.pl;343131155;12;12.0;;;3.5 zł;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Gmina Kłobuck;UL. 11 LISTOPADA 6 42-100 KŁOBUCK;5742055306.0;151398273.0;11481/P;www.gminaklobuck.pl;NIE;ŚLĄSKIE ;Powiat kłobucki ;Kłobuck ;Kłobuck ul. Krzysztofa Kamila Baczyńskiego 2;50.909014;18.93811
22;Żłobek;Niepubliczny Żłobek ,,Cudaki-Słodziaki”;MAZOWIECKIE > Powiat Warszawa > Warszawa - Ursynów > Warszawa - Ursynów, dzielnica m. st. Warszawy ul.  Na Uboczu 28B lok.  UB6 ;;mradlinska@wp.pl;509 613 307;15;15.0;1400.0 zł;;;15.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-17:30 ;NIE;RADLAKE Małgorzata Radlińska-Futyma;;9222052657.0;146538730.0;2159/P;http://cudaki-slodziaki.pl/;NIE;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Ursynów ;Warszawa - Ursynów, dzielnica m. st. Warszawy ul.  Na Uboczu 28B lok.  UB6 ;52.1420537;21.0472495
23;Żłobek;ŻŁOBEK;ŚLĄSKIE > Powiat Tychy > Tychy > Tychy, miasto ul.  Armii Krajowej 101 lok. D;;zlobektychy@op.pl;732570757;25;25.0;640.0 zł;30.0 zł;;;13.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;NIE;ZUZANNA JASIŃSKA;;6462896092.0;243140081.0;11487/P;;NIE;ŚLĄSKIE ;Powiat Tychy ;Tychy ;Tychy, miasto ul.  Armii Krajowej 101 lok. D;50.09561490000001;18.9858518
24;Żłobek;Żłobek nr 61;MAZOWIECKIE > Powiat Warszawa > Warszawa - Praga-Południe > Warszawa - Praga-Południe, dzielnica m. st. Warszawy ul. Jana Nowaka-Jeziorańskiego 1A;www.zlobki.waw.pl;zlobek61@zlobki.waw.pl;789494995;150;158.0;0.0 zł;;;;13.75 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:30 ;NIE;m.st. Warszawa;pl.  Plac Bankowy 3/5 00-950 Warszawa, Warszawa - Śródmieście, dzielnica m. st. Warszawy;5252248481.0;15259640.0;26702/P;um.warszawa.pl;NIE;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Praga-Południe ;Warszawa - Praga-Południe, dzielnica m. st. Warszawy ul. Jana Nowaka-Jeziorańskiego 1A;52.22806929999999;21.1102104
25;Klub dziecięcy;Klub Malucha Sowia 5;ŚLĄSKIE > Powiat Siemianowice Śląskie > Siemianowice Śląskie > Siemianowice Śląskie ul. Sowia 5;www.przedszkole.sowia5.pl;klubmalucha.sowia5@gmail.com;516577299;13;0.0;950.0 zł;;;;16.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% Zniżka - wpisowe za rodzeństwo: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Sowia 5 Przedszkole Integracyjne i Żłobek Sp z o.o.;ul.  Sowia 5 41-100 Siemianowice Śląskie, Siemianowice Śląskie, miasto;6431779178.0;524044782.0;11477/P;www.przedszkole.sowia5.pl;NIE;ŚLĄSKIE ;Powiat Siemianowice Śląskie ;Siemianowice Śląskie ;Siemianowice Śląskie ul. Sowia 5;50.3135382;19.0385423
26;Żłobek;"Żłobek ""Stonoga""";MAŁOPOLSKIE > Powiat olkuski > Olkusz > Olkusz ul. Legionów Polskich 14 lok. 1;;stonoga.olkusz@gmail.com;509899388;33;30.0;900.0 zł;;;;12.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;TAK;Aleksandra Świerczek;;6372193866.0;123156882.0;2601/P;;NIE;MAŁOPOLSKIE ;Powiat olkuski ;Olkusz ;Olkusz ul. Legionów Polskich 14 lok. 1;50.2660758;19.5787689
27;Żłobek;Żłobek Niepubliczny Elemelek;MAZOWIECKIE > Powiat nowodworski > Leoncin > Leoncin ul. Podleśna 33;;elemelek@przedszkole-elemelek.pl;600247156;20;15.0;1110.0 zł;;;;16.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-16:30 ;NIE;Przedszkole Niepubliczne Przedszkole Elemelek Barbara Kręźlewicz-Prarat;;5311568952.0;362429406.0;11492/P;www.przedszkole-elemelek.pl;NIE;MAZOWIECKIE ;Powiat nowodworski ;Leoncin ;Leoncin ul. Podleśna 33;52.390905;20.5336006
28;Żłobek;Żłobek Króla Zygmunta Ewelina Gromulska-Sulej;MAZOWIECKIE > Powiat miński > Mińsk Mazowiecki > Mińsk Mazowiecki ul. Warszawska 239;;ewelina.gromulskasulej@gmail.com;506993708;25;25.0;1600.0 zł;;;;17.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 20.0% Zniżka - 400 zł - dofinansowanie z Mińskiego Bonu, dla dzieci zamieszkałych na terenie miasta Mińsk Mazowiecki: 30.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;NIE;Żłobek Króla Zygmunta Ewelina Gromulska-Sulej;;8222364155.0;368738284.0;11502/P;;NIE;MAZOWIECKIE ;Powiat miński ;Mińsk Mazowiecki ;Mińsk Mazowiecki ul. Warszawska 239;52.1784611;21.5798393
29;Żłobek;PRZYGODY W OBŁOKACH;DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Psie Pole > Wrocław-Psie Pole, delegatura ul.  Gorlicka 62 lok. 4U;;ivonadabrowska@gmail.com;695780077;15;12.0;1480.0 zł;40.0 zł;;;24.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek 06:30-17:30 Piątek 06:30-17:00 ;NIE;PWO Iwona Dąbrowska,Marzena Chrzanowska s.c.;ul.  Centralna 37 lok. 1 52-114 Wrocław-Krzyki, Wrocław-Krzyki, delegatura;8992804087.0;366001591.0;1943/P;;NIE;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Psie Pole ;Wrocław-Psie Pole, delegatura ul.  Gorlicka 62 lok. 4U;51.1438505;17.1230865
30;Żłobek;Małe Poziomki Domek na Skraju ;DOLNOŚLĄSKIE > Powiat głogowski > Głogów > Głogów ul. Narciarska 1,3;www.przedszkole-poziomka.pl;ewaczainska@o2.pl;609508305;42;28.0;940.0 zł;;;;14.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;TAK;Przedszkole Niepubliczne Poziomka Ewa Czaińska;ul.  Narciarska 1,3 67-200 Głogów, Głogów, miasto;6931240896.0;21994642.0;11511/P;;NIE;DOLNOŚLĄSKIE ;Powiat głogowski ;Głogów ;Głogów ul. Narciarska 1,3;51.6532035;16.0972871
31;Żłobek;"Żłobek ""SZCZĘŚLIWA KRAINA"" ";DOLNOŚLĄSKIE > Powiat dzierżoniowski > Łagiewniki > Łagiewniki ul. Sportowa 9;brak;szczesliwakrainalagiewniki@gmail.com;667133481;23;16.0;850.0 zł;;;;10.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;"Żłobek ""SZCZĘŚLIWA KRAINA"" Jadwiga Kukiełka";;9141360107.0;367894160.0;11516/P;;NIE;DOLNOŚLĄSKIE ;Powiat dzierżoniowski ;Łagiewniki ;Łagiewniki ul. Sportowa 9;50.79073200000001;16.836226
32;Żłobek;"Żłobek Niepubliczny ""Lechitki""";WIELKOPOLSKIE > Powiat poznański > Suchy Las > Suchy Las ul. Powstańców Wielkopolskich 89;www.lechitki.pl;zlobek@lechitki.pl;667232373;52;35.0;1200.0 zł;25.0 zł;;;11.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;NIE;Eduro Anna Świderska;;9581308186.0;300929117.0;11509/P;www.lechitki.pl;NIE;WIELKOPOLSKIE ;Powiat poznański ;Suchy Las ;Suchy Las ul. Powstańców Wielkopolskich 89;52.4751746;16.8615724
33;Żłobek;Niepubliczny Żłobek KARUZELA Magdalena Kornosz;WIELKOPOLSKIE > Powiat kościański > Czempiń > Czempiń, miasto pl.  Zielony Rynek 18;www.przedszkolekaruzela.pl;biuro@przedszkolekaruzela.pl;508908625;30;7.0;900.0 zł;30.0 zł;;;10.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ;TAK;"Niepubliczny Żłobek ""KARUZELA""";pl.  Zielony Rynek 18 64-020 Czempiń, Czempiń, miasto;6981780991.0;367897968.0;11539/P;przedszkolekaruzela.pl;NIE;WIELKOPOLSKIE ;Powiat kościański ;Czempiń ;Czempiń, miasto pl.  Zielony Rynek 18;52.1434347;16.7654843
34;Żłobek;"Niepubliczny Żłobek ""Żabka"" w Przysieczy";OPOLSKIE > Powiat opolski > Prószków > Przysiecz ul. Szkolna 14;;zabkazp@wp.pl;608499728;20;20.0;900.0 zł;15.0 zł;;;15.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;Barbara Wlaźlik;;8321041142.0;;441/P;;NIE;OPOLSKIE ;Powiat opolski ;Prószków ;Przysiecz ul. Szkolna 14;50.5593987;17.8591601
35;Żłobek;Niepubliczny Żłobek KUM-KUM-2;MAZOWIECKIE > Powiat Warszawa > Warszawa - Wola > Warszawa - Wola, dzielnica m. st. Warszawy ul.  Radziwie 7 lok. U7;;zlobek@kum-kum.pl;881 000 080;30;30.0;1500.0 zł;;;;20.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:30-17:30 ;NIE;ARS EDUCANDI – SZTUKA WYCHOWANIA spółka z o.o.;ul. Jana Ostroroga 29 lok. 68 01-163 Warszawa - Wola, Warszawa - Wola, dzielnica m. st. Warszawy;5272758133.0;363639382.0;2951/P;www.kum-kum.pl;NIE;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Wola ;Warszawa - Wola, dzielnica m. st. Warszawy ul.  Radziwie 7 lok. U7;52.2457456;20.960543
36;Żłobek;GWIAZDOLANDIA ;ŚLĄSKIE > Powiat Gliwice > Gliwice > Gliwice ul. Jagiellońska 39;www.gwiazdolandia.pl;gwiazdolandia@gmail.com;509983750;60;60.0;1790.0 zł;;;0.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;NIE;GWIAZDOLANDIA Branicki sp. j.;ul.  Bernardyńska 46 44-100 Gliwice, Gliwice, miasto;6312653146.0;243544499.0;2198/P;www.gwiazdolandia.pl;NIE;ŚLĄSKIE ;Powiat Gliwice ;Gliwice ;Gliwice ul. Jagiellońska 39;50.2937222;18.6880466
37;Żłobek;"Niepubliczny Żłobek ""Gryfne Bajtle"" ";ŚLĄSKIE > Powiat Siemianowice Śląskie > Siemianowice Śląskie > Siemianowice Śląskie ul. 1 Maja 12;gryfne-bajtle.pl;gryfnebajtle.slaskie@gmail.com;791856308;80;80.0;1050.0 zł;;;;17.0 zł;Zniżka - Opłata wpisowa w przypadku zapisu dwójki dzieci: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ;NIE;Katarzyna Rej;;7151930456.0;368894127.0;11575/P;gryfne-bajtle.pl;NIE;ŚLĄSKIE ;Powiat Siemianowice Śląskie ;Siemianowice Śląskie ;Siemianowice Śląskie ul. 1 Maja 12;50.3043241;19.0327789
38;Żłobek;Żłobek Niepubliczny Cypiskowo.pl 2;MAZOWIECKIE > Powiat piaseczyński > Lesznowola > Lesznowola ul. Żubra 4;www.cypiskowo.pl;cypiskowo@cypiskowo.pl;602593463;30;30.0;1450.0 zł;50.0 zł;;;13.0 zł;Zniżka - Rzeczywista opłata za sam pobyt = 1250 zł.200 zł (16%) pokrywa dotacja z budżetu Gminy Lesznowola.: 16.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ;TAK;"""Cypiskowo.pl"" Katarzyna Brogowska";;8842166277.0;142431980.0;11593/P;www.cypiskowo.pl;NIE;MAZOWIECKIE ;Powiat piaseczyński ;Lesznowola ;Lesznowola ul. Żubra 4;52.0815834;20.9444967
