Typ instytucji;Nazwa;Lokalizacja instytucji;Adress WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Opłata miesięczna - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzacy - adres;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub;Czy podmiot prowadzący zawiesił działalność gospodarczą?
"Żłobek";"Niepubliczny Żłobek ""Tygrysek""";"WIELKOPOLSKIE > Powiat Konin > Konin > Konin ul. Akacjowa 5";"www.wiosnawsercu.pl";"wiosnawsercu@gmil.com";"510-520-886, 697-35-15-00";"15";"15";"900.0 zł";;;;"12.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota 07:00-16:00 ";"NIE";"Fundacja ""Wiosna w Sercu""";"ul.  Akacjowa 5 62-510 Konin, Konin, miasto";"6652880131";"300907742";"157/P";"www.wiosnawsercu.pl";"NIE"
"Żłobek";"Żłobek Re-Re-Kum-Kum";"ŚWIĘTOKRZYSKIE > Powiat starachowicki > Starachowice > Starachowice ul. Stanisława Staszica 25";"www.re-re-kum-kum.pl";"re-re-kum-kum@wp.pl";"510094775";"78";"73";"980.0 zł";;;;"17.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 20.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"TAK";"Klub Malucha Re-Re-Kum-Kum s.c.";"ul. Stanisława Staszica 25 27-200 Starachowice, Starachowice, miasto";"6642135087";"365445096";"2087/P";"www.re-re-kum-kum.pl";"NIE"
"Klub dziecięcy";"Kochane Urwisy";"MAZOWIECKIE > Powiat grójecki > Grójec > Marianów, wieś Marianów, wieś 19M";"www.kochaneurwisy.pl";"kochaneurwisy@op.pl";"607866401";"15";"8";"1700.0 zł";;;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:30-17:30 ";"TAK";"Łukasz Błaszczykowski";;"7971540406";"146296421";"750/P";"www.kochaneurwisy.pl";"NIE"
"Żłobek";"Żłobek Miejski nr 2 ";"DOLNOŚLĄSKIE > Powiat świdnicki > Świdnica > Świdnica ul. Galla Anonima 5";"http://www.zlobek2.swidnica.pl";"zlobek2@zlobek.swidnica.pl";"74 637 90 82";"100";"100";"636.0 zł";"63.0 zł";;;"10.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:30 ";"TAK";"Gmina Miasto Świdnica";"ul.  Armii Krajowej 49 58-100 Świdnica, Świdnica, miasto";"8840024797";"890718314";"7063/P";"www.um.swidnica.pl";"NIE"
"Żłobek";"Żłobek Gminny w Głuszycy";"DOLNOŚLĄSKIE > Powiat wałbrzyski > Głuszyca > Głuszyca ul. Grunwaldzka 37";"www.zlobekgluszyca.pl";"zlobek@gluszyca.pl";"605616005";"45";"45";"580.0 zł";"58.0 zł";;;"15.9 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"NIE";"Gmina Głuszyca";"ul.  Parkowa 9 58-340 Głuszyca, Głuszyca, miasto";"8862572750";"890718248";"7248/P";;"NIE"
"Klub dziecięcy";"""BRZDĄCE NA ŁĄCE"" KLUB MALUCHA I OPIEKA DZIENNA EWELINA BEDNARKIEWICZ";"WIELKOPOLSKIE > Powiat kolski > Grzegorzew > Grzegorzew ul. Łąkowa 19";;"e.bednarkiewicz90@gmail.com";"663320431";"15";"9";"1300.0 zł";"20.0 zł";;;"12.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-16:00 ";"NIE";"""BRZDĄCE NA ŁĄCE"" KLUB MALUCHA I OPIEKA DZIENNA EWELINA BEDNARKIEWICZ";;"6662089539";"367289200";"11406/P";"brzdace-grzegorzew.pl";"NIE"
"Żłobek";"Żłobek ""Bożego Miłosierdzia""";"ŚLĄSKIE > Powiat Zabrze > Zabrze > Zabrze ul. Pawła Majnusza 7";"www.dom-rodzina.pl";"biuro@dom-rodzina.pl";"575-241-606";"120";"32";"1090.0 zł";"50.0 zł";;;"12.0 zł";"Zniżka - Rodzina na 5+ obniżenie wyżywienia o 50 % na okres 10 m-cy, opłata wpisowa 3 równe raty co miesiąc: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"TAK";"Caritas Diecezji Gliwickiej";"ul. Księcia Ziemowita 2 44-100 Gliwice, Gliwice, miasto";"6311008107";"040022246";"633/P";"www.caritasgliwice.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek Super Bobas";"PODLASKIE > Powiat Białystok > Białystok > Białystok ul. Gajowa 79";"www.wesoledinusie.pl";"kontakt@wesoledinusie.pl";"600140533";"60";"52";"1450.0 zł";;;;"15.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:35-16:45 ";"TAK";"Lucky Star Ewa Bałtyk";;"9661654855";"200272057";"2263/P";"www.wesoledinusie.pl";"NIE"
"Żłobek";"Żłobek "" Bajkowy Dom""";"MAZOWIECKIE > Powiat legionowski > Jabłonna > Jabłonna ul. Modlińska 112";"https://przedszkolebajkowydom.pl/";"sekretariatbajkowydom@op.pl";"601055802";"15";"15";"1200.0 zł";"50.0 zł";;;"20.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"TAK";"Ewa Kobus";;"5242129792";"012897707";"1999/P";;"NIE"
"Żłobek";"Żłobek Niepubliczny ""A Be Ce Strumyk Wiedzy""";"WIELKOPOLSKIE > Powiat wolsztyński > Siedlec > Siedlec ul. Szkolna 2";"http://abcstrumykwiedzy.pl/";"sekretariat@abcstrumykwiedzy.pl";"607 397 165 lub 601 652 051";"50";"50";"1150.0 zł";;;;"14.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"Zakłady Mięsne ""SOBKOWIAK"" Elżbieta Sobkowiak";;"9231266197";"301514252";"11436/P";"http://abcstrumykwiedzy.pl/";"NIE"
"Żłobek";"Żłobek Gminny w Kłobucku";"ŚLĄSKIE > Powiat kłobucki > Kłobuck > Kłobuck ul. Krzysztofa Kamila Baczyńskiego 2";;"zlobek@gminaklobuck.pl";"343131155";"12";"12";;;"3.5 zł";;"16.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"Gmina Kłobuck";"UL. 11 LISTOPADA 6 42-100 KŁOBUCK";"5742055306";"151398273";"11481/P";"www.gminaklobuck.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek ,,Cudaki-Słodziaki”";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Ursynów > Warszawa - Ursynów, dzielnica m. st. Warszawy ul.  Na Uboczu 28B lok.  UB6 ";;"mradlinska@wp.pl";"509 613 307 ";"15";"15";"1400.0 zł";;;"15.0 zł";;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-17:30 ";"NIE";"RADLAKE Małgorzata Radlińska-Futyma";;"9222052657";"146538730";"2159/P";"http://cudaki-slodziaki.pl/";"NIE"
"Żłobek";"ŻŁOBEK";"ŚLĄSKIE > Powiat Tychy > Tychy > Tychy, miasto ul.  Armii Krajowej 101 lok. D";;"zlobektychy@op.pl";"732570757";"25";"25";"640.0 zł";"30.0 zł";;;"13.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"ZUZANNA JASIŃSKA";;"6462896092";"243140081";"11487/P";;"NIE"
"Żłobek";"Żłobek nr 61";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Praga-Południe > Warszawa - Praga-Południe, dzielnica m. st. Warszawy ul. Jana Nowaka-Jeziorańskiego 1A";"www.zlobki.waw.pl";"zlobek61@zlobki.waw.pl";"789494995";"150";"158";"0.0 zł";;;;"13.75 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:30 ";"NIE";"m.st. Warszawa";"pl.  Plac Bankowy 3/5 00-950 Warszawa, Warszawa - Śródmieście, dzielnica m. st. Warszawy";"5252248481";"015259640";"26702/P";"um.warszawa.pl";"NIE"
"Klub dziecięcy";"Klub Malucha Sowia 5";"ŚLĄSKIE > Powiat Siemianowice Śląskie > Siemianowice Śląskie > Siemianowice Śląskie ul. Sowia 5";"www.przedszkole.sowia5.pl";"klubmalucha.sowia5@gmail.com";"516577299";"13";"0";"950.0 zł";;;;"16.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% Zniżka - wpisowe za rodzeństwo: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"Sowia 5 Przedszkole Integracyjne i Żłobek Sp z o.o.";"ul.  Sowia 5 41-100 Siemianowice Śląskie, Siemianowice Śląskie, miasto";"6431779178";"524044782";"11477/P";"www.przedszkole.sowia5.pl";"NIE"
"Żłobek";"Żłobek ""Stonoga""";"MAŁOPOLSKIE > Powiat olkuski > Olkusz > Olkusz ul. Legionów Polskich 14 lok. 1";;"stonoga.olkusz@gmail.com";"509899388";"33";"30";"1000.0 zł";;;;"13.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"TAK";"Aleksandra Świerczek";;"6372193866";"123156882";"2601/P";;"NIE"
"Żłobek";"Żłobek Niepubliczny Elemelek";"MAZOWIECKIE > Powiat nowodworski > Leoncin > Leoncin ul. Podleśna 33";;"elemelek@przedszkole-elemelek.pl";"600247156";"20";"15";"1110.0 zł";;;;"16.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-16:30 ";"NIE";"Przedszkole Niepubliczne Przedszkole Elemelek Barbara Kręźlewicz-Prarat";;"5311568952";"362429406";"11492/P";"www.przedszkole-elemelek.pl";"NIE"
"Żłobek";"Żłobek Króla Zygmunta Ewelina Gromulska-Sulej";"MAZOWIECKIE > Powiat miński > Mińsk Mazowiecki > Mińsk Mazowiecki ul. Warszawska 239";;"ewelina.gromulskasulej@gmail.com";"506993708";"25";"25";"1600.0 zł";;;;"17.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 20.0% Zniżka - 400 zł - dofinansowanie z Mińskiego Bonu, dla dzieci zamieszkałych na terenie miasta Mińsk Mazowiecki: 30.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"Żłobek Króla Zygmunta Ewelina Gromulska-Sulej";;"8222364155";"368738284";"11502/P";;"NIE"
"Żłobek";"PRZYGODY W OBŁOKACH";"DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Psie Pole > Wrocław-Psie Pole, delegatura ul.  Gorlicka 62 lok. 4U";;"ivonadabrowska@gmail.com";"695780077";"15";"12";"1480.0 zł";"40.0 zł";;;"24.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek 06:30-17:30 Piątek 06:30-17:00 ";"NIE";"PWO Iwona Dąbrowska,Marzena Chrzanowska s.c.";"ul.  Centralna 37 lok. 1 52-114 Wrocław-Krzyki, Wrocław-Krzyki, delegatura";"8992804087";"366001591";"1943/P";;"NIE"
"Żłobek";"Małe Poziomki Domek na Skraju ";"DOLNOŚLĄSKIE > Powiat głogowski > Głogów > Głogów ul. Narciarska 1,3";"www.przedszkole-poziomka.pl";"ewaczainska@o2.pl";"609508305";"42";"28";"940.0 zł";;;;"14.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"TAK";"Przedszkole Niepubliczne Poziomka Ewa Czaińska";"ul.  Narciarska 1,3 67-200 Głogów, Głogów, miasto";"6931240896";"021994642";"11511/P";;"NIE"
"Żłobek";"Żłobek ""SZCZĘŚLIWA KRAINA"" ";"DOLNOŚLĄSKIE > Powiat dzierżoniowski > Łagiewniki > Łagiewniki ul. Sportowa 9";"brak";"szczesliwakrainalagiewniki@gmail.com";"667133481";"23";"16";"850.0 zł";;;;"10.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"Żłobek ""SZCZĘŚLIWA KRAINA"" Jadwiga Kukiełka";;"9141360107";"367894160";"11516/P";;"NIE"
"Żłobek";"Żłobek Niepubliczny ""Lechitki""";"WIELKOPOLSKIE > Powiat poznański > Suchy Las > Suchy Las ul. Powstańców Wielkopolskich 89";"www.lechitki.pl";"zlobek@lechitki.pl";"667232373";"52";"35";"1200.0 zł";"25.0 zł";;;"11.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"Eduro Anna Świderska";;"9581308186";"300929117";"11509/P";"www.lechitki.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek KARUZELA Magdalena Kornosz";"WIELKOPOLSKIE > Powiat kościański > Czempiń > Czempiń, miasto pl.  Zielony Rynek 18";"www.przedszkolekaruzela.pl";"biuro@przedszkolekaruzela.pl";"508908625";"30";"7";"900.0 zł";"30.0 zł";;;"10.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"Niepubliczny Żłobek ""KARUZELA""";"pl.  Zielony Rynek 18 64-020 Czempiń, Czempiń, miasto";"6981780991";"367897968";"11539/P";"przedszkolekaruzela.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek ""Żabka"" w Przysieczy";"OPOLSKIE > Powiat opolski > Prószków > Przysiecz ul. Szkolna 14";;"zabkazp@wp.pl";"608499728";"20";"20";"900.0 zł";"15.0 zł";;;"15.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"Barbara Wlaźlik";;"8321041142";;"441/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek KUM-KUM-2";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Wola > Warszawa - Wola, dzielnica m. st. Warszawy ul.  Radziwie 7 lok. U7";;"zlobek@kum-kum.pl";"881 000 080";"30";"30";"1500.0 zł";;;;"20.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:30-17:30 ";"NIE";"ARS EDUCANDI – SZTUKA WYCHOWANIA spółka z o.o.";"ul. Jana Ostroroga 29 lok. 68 01-163 Warszawa - Wola, Warszawa - Wola, dzielnica m. st. Warszawy";"5272758133";"363639382";"2951/P";"www.kum-kum.pl";"NIE"
"Żłobek";"GWIAZDOLANDIA ";"ŚLĄSKIE > Powiat Gliwice > Gliwice > Gliwice ul. Jagiellońska 39";"www.gwiazdolandia.pl";"gwiazdolandia@gmail.com";"509983750";"60";"60";"1790.0 zł";;;"0.0 zł";;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"GWIAZDOLANDIA Branicki sp. j.";"ul.  Bernardyńska 46 44-100 Gliwice, Gliwice, miasto";"6312653146";"243544499";"2198/P";"www.gwiazdolandia.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek ""Gryfne Bajtle"" ";"ŚLĄSKIE > Powiat Siemianowice Śląskie > Siemianowice Śląskie > Siemianowice Śląskie ul. 1 Maja 12";"gryfne-bajtle.pl";"gryfnebajtle.slaskie@gmail.com";"791856308";"80";"80";"1050.0 zł";;;;"17.0 zł";"Zniżka - Opłata wpisowa w przypadku zapisu dwójki dzieci: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"Katarzyna Rej";;"7151930456";"368894127";"11575/P";"gryfne-bajtle.pl";"NIE"
"Żłobek";"Żłobek Niepubliczny Cypiskowo.pl 2";"MAZOWIECKIE > Powiat piaseczyński > Lesznowola > Lesznowola ul. Żubra 4";"www.cypiskowo.pl";"cypiskowo@cypiskowo.pl";"602593463";"30";"30";"1450.0 zł";"50.0 zł";;;"13.0 zł";"Zniżka - Rzeczywista opłata za sam pobyt = 1250 zł.200 zł (16%) pokrywa dotacja z budżetu Gminy Lesznowola.: 16.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ";"TAK";"""Cypiskowo.pl"" Katarzyna Brogowska";;"8842166277";"142431980";"11593/P";"www.cypiskowo.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek Gumisiowy Las";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Krowodrza > Kraków-Krowodrza ul. gen. Augusta Fieldorfa-Nila 17 lok. JU11 JU12";"www.gumisiowylas.pl";"konopabarbara@gmail.com";"538437437";"40";"31";"2240.0 zł";;;;"21.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 8.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ";"NIE";"Barbara Konopa";;"6612137957";"123082089";"11567/P";"www.gumisiowylas.pl";"NIE"
"Żłobek";"Żyrafka";"DOLNOŚLĄSKIE > Powiat wrocławski > Kobierzyce > Bielany Wrocławskie ul. Akacjowa 6";"http://zlobek-zyrafka-bielany.pl/";"zyrafka.zlobek@gmail.com";"577066123";"20";"20";"1000.0 zł";;;;"16.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"NIE";"CISEK I ANIŚKIEWICZ sc";;"8961615267";"522404153";"11645/P";"www.zlobek-zyrafka-bielany.pl";"NIE"
"Klub dziecięcy";"BAJLANDIA NIEPUBLICZNE PRZEDSZKOLE I KLUB MALUCHA S,C SYLWIA SZYGENDA EWELINA CHABIERSKA";"WIELKOPOLSKIE > Powiat kaliski > Brzeziny > Brzeziny ul. ks. Józefa Kurzawy 5";"bajlandia2016@wp.pl";"BAJLANDIA@WP.PL";"794200094";"24";"24";"500.0 zł";;;"400.0 zł";;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota 06:00-17:00 ";"TAK";"BAJLANDIA NIEPUBLICZNE PRZEDSZKOLE I KLUB MALUCHA S.C SYLWIA SZYGENDA EWELINA CHABIERSKA";"ul. ks. Józefa Kurzawy 5 62-874 Brzeziny, Brzeziny, wieś";"9680980490";"365907958";"11577/P";;"NIE"
"Żłobek";"MAJABAJA ";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Ursynów > Warszawa - Ursynów, dzielnica m. st. Warszawy ul. Jana Żabińskiego 3";"www.majabaja.pl";"majabajazlobek@gmail.com";"512266971";"15";"15";"1800.0 zł";;;;"17.0 zł";"Zniżka - Samotne wychowanie dziecka: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"NIE";"PMT COMFORT Paulina Troć";"ul. Jana Żabińskiego 3 02-793 Warszawa - Ursynów, Warszawa - Ursynów, dzielnica m. st. Warszawy";"7981338853";"147044934";"11667/P";"http://www.majabaja.pl/";"NIE"
"Żłobek";"Niepubliczny Żłobek ""Słoneczna Kraina""";"WARMIŃSKO-MAZURSKIE > Powiat giżycki > Wydminy > Wydminy ul. Ełcka 2B";"www.slonecznakraina.pl";"lesya@osowa.com.pl";"506211876";"25";"4";"800.0 zł";;;;"20.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"TAK";"Centrum Edukacji NOVUM Sp.z.o.o";"ul.  Aleja Niepodległości 606 lok. 610 81-855 SOPOT, Sopot, miasto";"8451984497";"281601760";"11670/P";"www.slonecznakraina.pl";"NIE"
