Typ instytucji;Nazwa;Lokalizacja instytucji;Adress WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Opłata miesięczna - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzacy - adres;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub;Czy podmiot prowadzący zawiesił działalność gospodarczą?
"Żłobek";"Dwujęzyczny Żłobek Artystyczny i Naukowy ""Tuptuś Odkrywca""";"OPOLSKIE > Powiat Opole > Opole > Opole ul. o. Józefa Czaplaka 1B";"www.zlobekopoletuptus.pl";"info@przedszkolka.pl";"792222198";"81";"81";"1490.0 zł";;;;"16.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% Zniżka - Ulgi pracownicze. : 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:15 ";"TAK";"Niepubliczne Przedszkole Artystyczne i Językowe Przed-Szkółka Barbara Gaczkowska-Różańska";;"7541351513";"530944156";"13149/P";"www.przedszkolka.pl";"NIE"
"Żłobek";"NIEPUBLICZNY ŻŁOBEK ""TĘCZOWA KRAINA""";"WIELKOPOLSKIE > Powiat średzki > Środa Wielkopolska > Środa Wielkopolska ul. Ryszarda Berwińskiego 1";;"biuro@sredzkieprzedszkole.pl";"612856095";"46";"27";"980.0 zł";;;;"16.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"NIE";"EJDI sp.z.o.o.";"ul. Ryszarda Berwińskiego 1 63-000 Środa Wielkopolska, Środa Wielkopolska, miasto";"7861661600";"300787522";"13306/P";;"NIE"
"Żłobek";"Żłobek Radosne Słoneczko";"PODKARPACKIE > Powiat rzeszowski > Lubenia > Sołonka, wieś Sołonka, wieś 23";;"nspsolonka@gmail.com";"882171777";"20";"19";"1200.0 zł";"40.0 zł";;;"13.65 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:15-17:15 ";"NIE";"Stowarzyszenie Rozwoju Wsi Sołonka ""SOLANKA""";" 23 36-043 Lubenia, Sołonka, wieś";"8133664476";"180757440";"13369/P";;"NIE"
"Żłobek";"Żłobek ""Kraina Marzeń""";"MAŁOPOLSKIE > Powiat Nowy Sącz > Nowy Sącz > Nowy Sącz, miasto ul.  Radziecka 18";"www.krainamarzen.eu";"marcin.krolikiewicz@krainamarzen.eu";"694424336";"24";"7";"1350.0 zł";;;"100.0 zł";;"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"Marcin Królikiewicz";;"7342629058";"491941423";"1707/P";;"NIE"
"Żłobek";"Żłobek Misie Tulisie Wołów";"DOLNOŚLĄSKIE > Powiat wołowski > Wołów > Wołów ul. Jagodowa 25";"https://www.misietulisie.edu.pl";"dyrektor.wolow2@misietulisie.edu.pl";"533338089";"50";"44";"1150.0 zł";;;;"18.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"PGN WOŁÓW BRZEG DOLNY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"ul.  Świderska 113 lok. 77 03-128 WARSZAWA - BIAŁOŁĘKA, Warszawa - Białołęka, dzielnica m. st. Warszawy";"7011143497";"525263492";"30294/P";;"NIE"
"Klub dziecięcy";"Klub Malucha Gucio i Maja";"LUBELSKIE > Powiat tomaszowski > Tomaszów Lubelski > Tomaszów Lubelski ul. Zielona 20a";"brak";"anna_nowinska@onet.pl";"532336243";"30";"16";"1560.0 zł";;;;"18.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 20.0% Zniżka - Samotne wychowanie dziecka: 20.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"TAK";"Klub Malucha ""Gucio i Maja"" Anna Nowińska";;"9211008084";"950200798";"1517/P";"brak";"NIE"
"Żłobek";"Żłobek Krasnoludki";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Podgórze > Kraków-Podgórze ul. Chmieleniec 2A lok. LU7";"www.krasnoludki.eu";"krasnoludki30@gmail.com";"785125412";"20";"20";"1720.0 zł";"50.0 zł";;;"19.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-18:00 ";"NIE";"Krasnoludki S.C., Małgorzata Gaweł, Iwona Cięcielowska";"ul.  Turniejowa 59 lok. 25 30-619 Kraków-Podgórze, Kraków-Podgórze, delegatura";"6793001261";"120874170";"1281/P";"www.krasnoludki.eu";"NIE"
"Żłobek";"Żłobek Niepubliczny  ""Lucky Baby "" w Bydgoszczy ";"KUJAWSKO-POMORSKIE > Powiat Bydgoszcz > Bydgoszcz > Bydgoszcz ul. Jana Pestalozziego 15";"www.lucky-baby.pl";"sekretariat@e-mc2.eu";"885979093";"83";"10";"1670.0 zł";;;"350.0 zł";;"Zniżka - ulga za kontynuacje umowy w przedszkolu zgodnie z regulaminem : 17.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"Strefa Edukacji E=mc2 Sp. z o.o.";"ul.  Chełmińska 206 86-300 Grudziądz, Grudziądz, miasto";"5252579048";"147102123";"2328/P";"www.e-mc2.eu";"NIE"
"Żłobek";"Niepubliczny Żłobek Małe Chmurki";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Mokotów > Warszawa - Mokotów, dzielnica m. st. Warszawy ul. Zygmunta Modzelewskiego 37 lok. U5";"http://malechmurki.pl";"zlobek@malechmurki.pl";"22 299 19 11";"22";"22";"2100.0 zł";"40.0 zł";;;"20.5 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ";"NIE";"Małe Chmurki Sp. z o.o.";"ul. Zygmunta Modzelewskiego 37 lok. U5 02-679 Warszawa - Mokotów, Warszawa - Mokotów, dzielnica m. st. Warszawy";"5222936437";"142101538";"13945/P";"http://malechmurki.pl";"NIE"
"Żłobek";"Żłobek Misie Tulisie Brzeg Dolny";"DOLNOŚLĄSKIE > Powiat wołowski > Brzeg Dolny > Brzeg Dolny ul. Wilcza 7a";"https://www.misietulisie.edu.pl";"dyrektor.wolow2@misietulisie.edu.pl";"533338089";"24";"20";"1150.0 zł";;;;"18.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"PGN WOŁÓW BRZEG DOLNY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"ul.  Świderska 113 lok. 77 03-128 WARSZAWA - BIAŁOŁĘKA, Warszawa - Białołęka, dzielnica m. st. Warszawy";"7011143497";"525263492";"30294/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek Ala ma kota";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Wilanów > Wilanów ul. Franciszka Klimczaka 1";;"klimczaka@alamakota.edu.pl";"797043023";"25";"7";"3500.0 zł";;;"150.0 zł";;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-17:30 ";"NIE";"Ala ma kota Konrad Sadowski";;"5211115352";"010727496";"1953/P";"www.alamakota.edu.pl";"NIE"
"Żłobek";"Żłobek Szkrabikowo";"KUJAWSKO-POMORSKIE > Powiat Bydgoszcz > Bydgoszcz > Bydgoszcz ul. Cmentarna 48";;"zlobek.szkrabikowo@wp.pl";"576600099";"20";"8";"1250.0 zł";"25.0 zł";;;"17.49 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 30.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:00 ";"NIE";"Żłobek Szkrabikowo";;"9671312292";"367696141";"13943/P";;"NIE"
"Klub dziecięcy";"TĘCZA";"MAŁOPOLSKIE > Powiat nowosądecki > Chełmiec > Dąbrowa, wieś Dąbrowa, wieś 109";;"teczab@onet.pl";"18 262 08 18";"18";"15";"1000.0 zł";;;;"11.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:00 ";"NIE";"Agnieszka Bugajska TĘCZA";" 109 33-311 Chełmiec, Dąbrowa, wieś";"7343239164";"121534156";"14138/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek Akademia Malucha";"ŚLĄSKIE > Powiat Gliwice > Gliwice > Gliwice ul. Tarnogórska 233";"www.zlobekgliwice.com";"kontakt@zlobekgliwice.com";"532555541";"198";"173";"1450.0 zł";"50.0 zł";;;"16.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 20.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 20.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-18:00 ";"TAK";"Akademia Malucha Paulina Rączkiewicz";;"6412416747";"362126982";"14163/P";"www.zlobekgliwice.com";"NIE"
"Żłobek";"Niepubliczny Elitarny Żłobek Mali Zwycięzcy";"POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk ul. Franciszka Rakoczego 19 lok lok. 1";"www.malizwyciezcy.pl";"przedszkole@malizwyciezcy.pl";"505 772 442";"15";"14";"1200.0 zł";;;;"20.7 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"Aleksandra Szulkowska INVICTUS";;"5842422365";"380058568";"14364/P";"www.malizwyciezcy.pl";"NIE"
"Żłobek";"Żłobek Niepubliczny ""BAYEREK"" w Toruniu ";"KUJAWSKO-POMORSKIE > Powiat Toruń > Toruń > Toruń ul. Spółdzielcza 6";"www.torun.bayerek.pl";"torun@zlobkiprzedszkola.pl";"885979094";"80";"15";"1670.0 zł";"40.0 zł";;"350.0 zł";;"Zniżka - kontynuacja umowy w przedszkolu w przypadku spełnienia warunków : 17.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"ATM Business Group sp. z o. o.";"ul.  Chełmińska 206 86-300 Grudziądz, Grudziądz, miasto";"8762404817";"340546543";"121/P";"www.atmbg.eu";"NIE"
"Żłobek";"MALI GIGANCI ŻŁOBEK";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Krowodrza > Kraków-Krowodrza ul. Tytusa Czyżewskiego 3 lok. LU 5";"www.maligigancizlobek.pl";"biuro@maligigancizlobek.pl";"733300030";"29";"25";"2050.0 zł";"50.0 zł";;;"19.5 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"NIE";"Mali Giganci Spółka Cywilna";"ul. Tytusa Czyżewskiego 3 lok. LU4, LU5 30-085 Kraków-Krowodrza, Kraków-Krowodrza, delegatura";"6772439638";"381799344";"14563/P";"www.maligigancizlobek.pl";"NIE"
"Klub dziecięcy";"Klub Malucha PasteLove";"KUJAWSKO-POMORSKIE > Powiat Bydgoszcz > Bydgoszcz > Bydgoszcz ul. Bohaterów Kragujewca 11";"http://pastelove.bydgoszcz.pl/";"justyna.szyffer@op.pl";"502130149";"30";"20";"1400.0 zł";;;;"17.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"TAK";"PasteLove J. Szyffer M. Szyffer s.c.";"ul.  Bohaterów Kragujewca 11 85-863 Bydgoszcz, Bydgoszcz, miasto";"9532739199";"369172749";"14603/P";;"NIE"
"Klub dziecięcy";"""Bajkowo""";"ŁÓDZKIE > Powiat piotrkowski > Rozprza > Rozprza ul. Sportowa 30C";;"biuro@bajkowo-rozprza.pl";"729-360-446";"25";"10";"460.0 zł";;;;"14.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:30 ";"TAK";"Bajkowo Niepubliczne Przedszkole/Łukasz Bieliński";;"7712623209";"366105221";"13311/P";;"NIE"
"Żłobek";"NIEPUBLICZNY ŻŁOBEK JONATAN";"ŚLĄSKIE > Powiat Bielsko-Biała > Bielsko-Biała > Bielsko-Biała ul. Listopadowa 59";"www.jonatan.pl";"listopadowa@jonatan.pl";"600 421 537";"63";"23";"1300.0 zł";;;;"16.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"TAK";"Placówka Oświatowa JONATAN s.c. Agnieszka Michalak, Jakub  Michalak";"ul.  Błękitna 14 43-300 Bielsko-Biała, Bielsko-Biała, miasto";"5472123913";"241656596";"14742/P";"www.jonatan.edu.pl";"NIE"
"Żłobek";"Żłobek Creative Mind";"MAZOWIECKIE > Powiat piaseczyński > Piaseczno > Piaseczno ul. Żeromskiego 13";"www.creativemindschool.com";"biuro.creativemind@gmail.com";"508237723";"10";"10";"1000.0 zł";;;;"15.5 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% Zniżka - Karta Dużej Rodziny - 5% od pierwszego dziecka i 10% od kolejnych: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"Centrum Creative Mind School Damian Szewczyk";;"1231145609";"367911585";"14881/P";;"NIE"
"Żłobek";"InteGra SportArt Żłobek z oddziałem integracyjnym";"ŚLĄSKIE > Powiat Tychy > Tychy > Tychy, miasto ul.  Arctowskiego 3B";"www.przedszkoleart.pl";"dyrekcja@zlobeksportart.pl";"570011355";"24";"24";"1100.0 zł";;;;"16.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"SPORTART Sp. z o.o.";"al.  Niepodległości 32 43-100 Tychy, Tychy, miasto";"6463008691";"527113621";"3190/P";;"NIE"
"Żłobek";"ŻŁOBEK NIEPUBLICZNY - LOKOMOTYWA NR 2 WE WROCŁAWIU";"DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Krzyki > Wrocław-Krzyki ul. Poranna 43A";"lokomotywa.net.pl";"wroclaw@lokomotywa.net.pl";"501 063 950";"20";"19";"1848.57 zł";;;;"16.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"TAK";"MAŁOPOLSKIE CENTRUM EDUKACJI LOKOMOTYWA SP. Z O. O.";"ul.  Podhalańska 4 34-700 Rabka-Zdrój, Rabka-Zdrój, miasto";"7352882965";"382971472";"1026/P";"www.malopolska.edu.pl";"NIE"
"Klub dziecięcy";"Klub Dziecięcy Nr 2  (Zespół Żłobka i Klubów Dziecięcych siedziba : ul. B.Prusa 253A, Sosnowiec)";"ŚLĄSKIE > Powiat Sosnowiec > Sosnowiec > Sosnowiec ul. Targowa 18";"www.zlobekmiejski.sosnowiec.pl";"zmsc@sosnowiec.edu.pl";"32 263-61-71";"25";"24";"400.0 zł";"40.0 zł";;;"9.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"NIE";"Gmina Sosnowiec";"ul.  Aleja Zwycięstwa 20 41-200 Sosnowiec, Sosnowiec, miasto";"6443453672";"276255482";"488/P";"www.sosnowiec.pl";"NIE"
"Żłobek";"Pozytywny żłobek w Siemianowicach Śląskich";"ŚLĄSKIE > Powiat Siemianowice Śląskie > Siemianowice Śląskie > Siemianowice Śląskie ul. Hermana Wróbla 12";"http://slaskie.pozytywneinicjatywy.pl/";"a.bennia@pozytywneinicjatywy.pl";"507 576 788";"25";"25";"1300.0 zł";"50.0 zł";;;"16.5 zł";"Zniżka - pracownicy PIE i FPI - 150 zł: 15.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"TAK";"Pozytywne Inicjatywy - Edukacja Sp. z o. o.";"ul.  Przebendowskiego 12 84-100 Puck, Puck, miasto";"5871689332";"221092650";"12985/P";"http://www.pozytywneinicjatywy.pl";"NIE"
"Żłobek";"Żłobek ""Twórcza kraina"" ";"DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Fabryczna > Wrocław-Fabryczna ul. Trawowa 63b";"www.twpwroclaw.pl";"tworczakraina@twpwroclaw.pl";"795015718";"29";"22";"997.89 zł";"30.0 zł";;;"19.9 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"Towarzystwo Wiedzy Powszechnej Oddział Regionalny we Wrocławiu";"ul.  Szwedzka 13A 54-401 Wrocław-Fabryczna, Wrocław-Fabryczna, delegatura";"8961004256";"930877418";"12918/P";"www.twpwroclaw.pl";"NIE"
"Żłobek";"Żłobek ""Uśmiechnięty maluch"" ";"KUJAWSKO-POMORSKIE > Powiat Grudziądz > Grudziądz > Grudziądz ul. Moniuszki 13a";;"ordst@wp.pl";"663201111";"20";"17";"1100.0 zł";"40.0 zł";;;"10.0 zł";"Zniżka - rodzeństwo uczęszczające do instytucji - opłata wpisowego: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:00 ";"NIE";"OPUS II sp. z o.o.";"ul.  Moniuszki 13a 86-300 Grudziądz, Grudziądz, miasto";"8762172488";"871551866";"15416/P";;"NIE"
"Klub dziecięcy";"KLUB MALUSZKA ADAŚ BARBARA LIS";"MAŁOPOLSKIE > Powiat Nowy Sącz > Nowy Sącz > Nowy Sącz, miasto ul. św. Kunegundy 30";"adas-klubmaluszka.malopolska.pl";"balinka3@o2.pl";"504186214";"15";"16";"850.0 zł";;;;"18.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"KLUB MALUSZKA ADAŚ BARBARA LIS";"ul. św. Kunegundy 30 33-300 Nowy Sącz, Nowy Sącz, miasto";"7341780907";"492038317";"15471/P";;"NIE"
"Żłobek";"Żłobek ""Elementarz Przyjazny Rodzinie""";"ŚLĄSKIE > Powiat Katowice > Katowice > Katowice ul. Studencka 20";"www.zlobekelementarz.pl";"dyrektor@zlobekelementarz.pl";"322535074";"60";"60";"1300.0 zł";"25.0 zł";;;"18.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 15.0% Zniżka - Pracownicy placówek ""Elementarz"": 25.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-18:00 ";"TAK";"Żłobek Muzyczny Elementarz Sp.z o.o.";"ul.  Studencka 18 40-743 Katowice, Katowice, miasto";"6342963288";"383674693";"15497/P";"www.muzyczna.pl";"NIE"
"Żłobek";"Agugu Odlotowa Kraina";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Krowodrza > Kraków-Krowodrza ul. gen. Augusta Fieldorfa-Nila 17 lok. Ju2 i Ju13";"odlotowakraina.pl";"zlobek@odlotowakraina.pl";"514712118";"25";"20";"1950.0 zł";"40.0 zł";;;"18.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"Agugu Sp. z o. o.";"ul. Józefa Brodowicza 6 31-518 Kraków-Śródmieście, Kraków-Śródmieście, delegatura";"6751706086";"383617502";"15690/P";"www.agugu.krakow.pl";"NIE"
"Żłobek";",,LEŚNA POLANA"" Renata Glejzer-Świstek";"ZACHODNIOPOMORSKIE > Powiat szczecinecki > Szczecinek > Szczecinek ul. Pogodna 29";;"renia027@wp.pl";"667948031";"25";"25";"790.0 zł";;;;"14.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:20 ";"NIE";"Renata Glejzer-Świstek";;"6731084227";"331304212";"15770/P";;"NIE"
