Identyfikator instytucji;Typ instytucji;Nazwa;Województwo;Powiat;Gmina;Miejscowość;Ulica;Nr domu;Nr lokalu;Kod pocztowy;Geolokalizacja;Adres WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Liczba miejsc ze środków KPO;Liczba miejsc ze środków FERS;Liczba dzieci zapisanych na miejsca z KPO;Liczba dzieci zapisanych na miejsca z FERS;Podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia) - opłata miesięczna;Opłata miesięczna na miejscach z KPO/FERS;Stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Wydatki na funkcjonowanie – miesięcznie;W tym z programu Dofinansowanie wynagrodzeń;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Czy podmiot prowadzący zawiesił działalność instytucji opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzący - miejscowość;Podmiot prowadzący - ulica;Podmiot prowadzący - nr domu;Podmiot prowadzący - nr lokalu;Podmiot prowadzący - kod pocztowy;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub
"10110/Z";"Żłobek";"Żłobek Re-Re-Kum-Kum";"ŚWIĘTOKRZYSKIE";"starachowicki";"Starachowice";"Starachowice, miasto";"ul. Stanisława Staszica";"25";;"27-200";"20.915412418419663;51.07799655";"www.re-re-kum-kum.pl";"re-re-kum-kum@wp.pl";"510094775";"78";"78";"0";"0";"0";"0";2050.0;0.0;;;;19.7;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"TAK";"NIE";"Klub Malucha Re-Re-Kum-Kum s.c.";"Starachowice, miasto";"ul. Stanisława Staszica";"25";;"27-200";"6642135087";"365445096";"2087/P";"www.re-re-kum-kum.pl"
"10112/Z";"Żłobek";"Kochane Urwisy";"MAZOWIECKIE";"grójecki";"Grójec";"Marianów, wieś";;"19M";;"05-600";"20.898027;51.8664171";"www.kochaneurwisy.pl";"kochaneurwisy@op.pl";"607866401";"15";"1";;;;;1900.0;0.0;;;;;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:30-17:00 ";"TAK";"NIE";"Łukasz Błaszczykowski";;;;;;"7971540406";"146296421";"750/P";"www.kochaneurwisy.pl"
"10114/Z";"Żłobek";"Żłobek Miejski nr 2 ";"DOLNOŚLĄSKIE";"świdnicki";"Świdnica";"Świdnica, miasto";"ul. Galla Anonima";"5";;"58-100";"16.4850101182716;50.86103155";"http://www.zlobek2.swidnica.pl";"zlobek2@zlobek.swidnica.pl";"746379082";"100";"100";;;;;1500.0;0.0;63.0;;;10.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:30 ";"TAK";"NIE";"Gmina Miasto Świdnica";"Świdnica, miasto";"ul.  Armii Krajowej";"49";;"58-100";"8840024797";"890718314";"7063/P";"www.um.swidnica.pl"
"10115/Z";"Żłobek";"Żłobek Gminny w Głuszycy";"DOLNOŚLĄSKIE";"wałbrzyski";"Głuszyca";"Głuszyca, miasto";"ul. Grunwaldzka";"37";;"58-340";;"www.zlobekgluszyca.pl";"zlobek@gluszyca.pl";"605616005";"45";"41";;;;;1500.0;0.0;58.0;;;18.9;2839.72;162.88;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"NIE";"NIE";"Gmina Głuszyca";"Głuszyca, miasto";"ul.  Parkowa";"9";;"58-340";"8862572750";"890718248";"7248/P";
"10133/Z";"Klub dziecięcy";"""BRZDĄCE NA ŁĄCE"" KLUB MALUCHA I OPIEKA DZIENNA EWELINA BEDNARKIEWICZ";"WIELKOPOLSKIE";"kolski";"Grzegorzew";"Grzegorzew";"ul. Łąkowa";"19";;"62-640";"18.74063474348725;52.19956991060491";;"e.bednarkiewicz90@gmail.com";"663320431";"15";"11";"0";"0";"0";"0";1500.0;0.0;25.0;;;12.9;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-16:00 ";"NIE";"NIE";"""BRZDĄCE NA ŁĄCE"" KLUB MALUCHA I OPIEKA DZIENNA EWELINA BEDNARKIEWICZ";;;;;;"6662089539";"367289200";"11406/P";"brzdace-grzegorzew.pl"
"10135/Z";"Żłobek";"Żłobek ""Bożego Miłosierdzia""";"ŚLĄSKIE";"Zabrze";"Zabrze";"Zabrze";"ul. Pawła Majnusza";"7";;"41-800";"18.7957095634934;50.30278765";"www.dom-rodzina.pl";"biuro@dom-rodzina.pl";"575241606";"120";"17";"0";"0";"0";"0";2040.0;0.0;50.0;;400.0;;;;"Zniżka - Rodzina na 5+ obniżenie wyżywienia o 50 % na okres 10 m-cy, opłata wpisowa 3 równe raty co miesiąc: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"TAK";"NIE";"Caritas Diecezji Gliwickiej";"Gliwice, miasto";"ul. Księcia Ziemowita";"2";;"44-100";"6311008107";"040022246";"633/P";"www.caritasgliwice.pl"
"10155/Z";"Żłobek";"Niepubliczny Żłobek Super Bobas";"PODLASKIE";"Białystok";"Białystok";"Białystok, miasto";"ul. Gajowa";"79";;"15-876";"23.1163804;53.1542574";"www.wesoledinusie.pl";"kontakt@wesoledinusie.pl";"600140533";"60";"50";;;;;1900.0;0.0;;;;16.5;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:45-16:45 ";"TAK";"NIE";"Lucky Star Ewa Bałtyk";;;;;;"9661654855";"200272057";"2263/P";"www.wesoledinusie.pl"
"10156/Z";"Żłobek";"Żłobek "" Bajkowy Dom""";"MAZOWIECKIE";"legionowski";"Jabłonna";"Jabłonna";"ul. Modlińska";"112";;"05-110";"20.922509;52.376243";"https://przedszkolebajkowydom.pl/";"sekretariatbajkowydom@op.pl";"601055802";"15";"15";"0";"0";"0";"0";1500.0;0.0;50.0;;;23.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"TAK";"NIE";"Ewa Kobus";;;;;;"5242129792";"012897707";"1999/P";
"10176/Z";"Żłobek";"Żłobek Niepubliczny ""A Be Ce Strumyk Wiedzy""";"WIELKOPOLSKIE";"wolsztyński";"Siedlec";"Siedlec, wieś";"ul. Szkolna";"2";;"64-212";"16.00229;52.137574";"http://abcstrumykwiedzy.pl/";"sekretariat@abcstrumykwiedzy.pl";"+48607397165";"64";"64";;;;;1380.0;0.0;;;;15.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"NIE";"Zakłady Mięsne ""SOBKOWIAK"" Elżbieta Sobkowiak";"Siedlec, wieś";"ul. Szkolna";"2";;"64-212";"9231266197";"301514252";"11436/P";"http://abcstrumykwiedzy.pl/"
"10178/Z";"Żłobek";"Żłobek Gminny w Kłobucku";"ŚLĄSKIE";"kłobucki";"Kłobuck";"Kłobuck, miasto";"ul. Krzysztofa Kamila Baczyńskiego";"2";;"42-100";"18.9372927795542;50.90893175";;"zlobek@gminaklobuck.pl";"343131155";"12";"12";;;;;1500.0;0.0;;;;16.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"NIE";"Gmina Kłobuck";"KŁOBUCK";"UL. 11 LISTOPADA";"6";;"42-100";"5742055306";"151398273";"11481/P";"www.gminaklobuck.pl"
"10179/Z";"Żłobek";"Niepubliczny Żłobek ,,Cudaki-Słodziaki”";"MAZOWIECKIE";"Warszawa";"Warszawa - Ursynów";"Warszawa - Ursynów, dzielnica m. st. Warszawy";"ul.  Na Uboczu";"28B";" UB6 ";"02-791";"21.0472626;52.1407601";;"mradlinska@wp.pl";"509613307";"15";"15";"0";"0";"0";"0";2000.0;0.0;;;;20.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-17:30 ";"NIE";"NIE";"RADLAKE Małgorzata Radlińska-Futyma";;;;;;"9222052657";"146538730";"2159/P";"http://cudaki-slodziaki.pl/"
"10180/Z";"Żłobek";"ŻŁOBEK";"ŚLĄSKIE";"Tychy";"Tychy";"Tychy, miasto";"ul.  Armii Krajowej";"101";"D";"43-100";"18.9965933;50.114397";;"zlobektychy@op.pl";"732570757";"25";"25";"0";"0";"0";"0";1500.0;0.0;30.0;;;13.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"NIE";"ZUZANNA JASIŃSKA";"Tychy, miasto";"ul.  Armii Krajowej";"101";"d";"43-100";"6462896092";"243140081";"11487/P";
"10198/Z";"Żłobek";"Żłobek nr 61";"MAZOWIECKIE";"Warszawa";"Warszawa - Praga-Południe";"Warszawa - Praga-Południe, dzielnica m. st. Warszawy";"ul. Jana Nowaka-Jeziorańskiego";"1A";;"03-984";"21.11007;52.2270001";"www.zlobki.waw.pl";"zlobek61@zlobki.waw.pl";"789494995";"150";"155";;;;;1500.0;0.0;;;;15.32;2516.15;125.5;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ";"NIE";"NIE";"m.st. Warszawa";"Warszawa - Śródmieście, dzielnica m. st. Warszawy";"pl. Plac Bankowy";"3/5";;"00-950";"5252248481";"015259640";"26702/P";"um.warszawa.pl"
"10220/Z";"Żłobek";"Żłobek ""Stonoga""";"MAŁOPOLSKIE";"olkuski";"Olkusz";"Olkusz";"ul. Legionów Polskich";"14";"1";"32-300";"19.5787948664093;50.266057141876246";;"stonoga.olkusz@gmail.com";"509899388";"33";"20";"0";"0";"0";"0";1500.0;0.0;;;;15.0;;;"Zniżka - Aktywnie w żłobku: 100.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:30 ";"TAK";"NIE";"Aleksandra Świerczek";;;;;;"6372193866";"123156882";"2601/P";
"10241/Z";"Żłobek";"Żłobek Niepubliczny Elemelek";"MAZOWIECKIE";"nowodworski";"Leoncin";"Leoncin";"ul. Podleśna";"33";;"05-155";"20.534806;52.391446";;"elemelek@przedszkole-elemelek.pl";"600247156";"20";"19";"0";"0";"0";"0";1500.0;0.0;;;;17.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-16:30 ";"NIE";"NIE";"Przedszkole Niepubliczne Przedszkole Elemelek Barbara Kręźlewicz-Prarat";;;;;;"5311568952";"362429406";"11492/P";"www.przedszkole-elemelek.pl"
"10242/Z";"Żłobek";"Żłobek Króla Zygmunta Ewelina Gromulska-Sulej";"MAZOWIECKIE";"miński";"Mińsk Mazowiecki";"Mińsk Mazowiecki, miasto";"ul. Warszawska";"239";;"05-300";"21.579819792659762;52.178241000000014";;"ewelina.gromulskasulej@gmail.com";"506993708";"25";"25";;;;;1600.0;0.0;40.0;;;17.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"NIE";"Żłobek Króla Zygmunta Ewelina Gromulska-Sulej";"Mińsk Mazowiecki, miasto";"ul. Warszawska";"239";;"05-300";"8222364155";"368738284";"11502/P";
"10245/Z";"Żłobek";"Żłobek ""SZCZĘŚLIWA KRAINA"" ";"DOLNOŚLĄSKIE";"dzierżoniowski";"Łagiewniki";"Łagiewniki";"ul. Sportowa";"9";;"58-210";"16.83628866699219;50.79067615881468";"brak";"szczesliwakrainalagiewniki@gmail.com";"667133481";"23";"11";"0";"0";"0";"0";1500.0;0.0;;;;12.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Żłobek ""SZCZĘŚLIWA KRAINA"" Jadwiga Kukiełka";;;;;;"9141360107";"367894160";"11516/P";
"10264/Z";"Żłobek";"Żłobek Niepubliczny ""Lechitki""";"WIELKOPOLSKIE";"poznański";"Suchy Las";"Suchy Las";"ul. Powstańców Wielkopolskich";"89";;"62-002";"16.861494;52.47516";"www.lechitki.pl";"zlobek@lechitki.pl";"667232373";"52";"35";"0";"0";"0";"0";1200.0;0.0;25.0;;;11.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"NIE";"Eduro Anna Świderska";;;;;;"9581308186";"300929117";"11509/P";"www.lechitki.pl"
"10268/Z";"Żłobek";"Niepubliczny Żłobek KARUZELA Magdalena Kornosz";"WIELKOPOLSKIE";"kościański";"Czempiń";"Czempiń, miasto";"pl.  Zielony Rynek";"18";;"64-020";"16.7656094292177;52.14347855";"www.przedszkolekaruzela.pl";"biuro@przedszkolekaruzela.pl";"508908625";"30";"27";"0";"0";"0";"0";2000.0;0.0;0.0;;300.0;;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"NIE";"Niepubliczny Żłobek ""KARUZELA""";"Czempiń, miasto";"pl.  Zielony Rynek";"18";;"64-020";"6981780991";"367897968";"11539/P";"przedszkolekaruzela.pl"
"10291/Z";"Żłobek";"Niepubliczny Żłobek ""Żabka"" w Przysieczy";"OPOLSKIE";"opolski";"Prószków";"Przysiecz";"ul. Szkolna";"14";;"46-060";"17.85907;50.559393";;"zabkazp@wp.pl";"608499728";"20";"10";"0";"0";"0";"0";2100.0;0.0;25.0;;;15.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Barbara Wlaźlik";;;;;;"8321041142";;"441/P";
"10292/Z";"Żłobek";"Niepubliczny Żłobek KUM-KUM-2";"MAZOWIECKIE";"Warszawa";"Warszawa - Wola";"Warszawa - Wola, dzielnica m. st. Warszawy";"ul. Radziwie";"7";"U7";"01-164";"20.959804257970127;52.245676450000005";;"zlobek@kum-kum.pl";"881000080";"30";"30";;;;;2000.0;0.0;;;;25.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:30-17:30 ";"NIE";"NIE";"ARS EDUCANDI – SZTUKA WYCHOWANIA spółka z o.o.";"Warszawa - Wola, dzielnica m. st. Warszawy";"ul. Jana Ostroroga";"29";"68";"01-163";"5272758133";"363639382";"2951/P";"www.kum-kum.pl"
"10311/Z";"Żłobek";"GWIAZDOLANDIA ";"ŚLĄSKIE";"Gliwice";"Gliwice";"Gliwice";"ul. Jagiellońska";"39";;"44-100";"18.687993;50.293691";"www.gwiazdolandia.pl";"gwiazdolandia@gmail.com";"509983750";"60";"60";"0";"0";"0";"0";1850.0;0.0;;;;14.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"NIE";"GWIAZDOLANDIA Branicki sp. j.";"Gliwice, miasto";"ul.  Bernardyńska";"46";;"44-100";"6312653146";"243544499";"2198/P";"www.gwiazdolandia.pl"
"10313/Z";"Żłobek";"Niepubliczny Żłobek ""Gryfne Bajtle"" ";"ŚLĄSKIE";"Siemianowice Śląskie";"Siemianowice Śląskie";"Siemianowice Śląskie, miasto";"ul. 1 Maja";"12";;"41-100";"19.032851553230287;50.30421429574744";"gryfne-bajtle.pl";"gryfnebajtle.slaskie@gmail.com";"791856308";"80";"80";;;;;1700.0;0.0;50.0;;;18.0;;;"Zniżka - Opłata wpisowa w przypadku zapisu dwójki dzieci: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"NIE";"Katarzyna Rej";"Siemianowice Śląskie, miasto";"ul. 1 Maja";"12";;"41-100";"7151930456";"368894127";"11575/P";"gryfne-bajtle.pl"
"10329/Z";"Żłobek";"Żłobek Niepubliczny Cypiskowo.pl 2";"MAZOWIECKIE";"piaseczyński";"Lesznowola";"Lesznowola";"ul. Żubra";"4";;"05-506";"20.944892;52.081462";"www.cypiskowo.pl";"cypiskowo@cypiskowo.pl";"602593463";"30";"30";"0";"0";"0";"0";1880.0;0.0;50.0;;;16.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ";"TAK";"NIE";"""Cypiskowo.pl"" Katarzyna Brogowska";;;;;;"8842166277";"142431980";"11593/P";"www.cypiskowo.pl"
"10333/Z";"Żłobek";"Niepubliczny Żłobek Gumisiowy Las";"MAŁOPOLSKIE";"Kraków";"Kraków-Krowodrza";"Kraków-Krowodrza";"ul. gen. Augusta Fieldorfa-Nila";"17";"JU11 JU12";"31-209";"19.934092413352964;50.088304054104555";"www.gumisiowylas.pl";"konopabarbara@gmail.com";"538437437";"40";"20";"0";"0";"0";"0";2650.0;0.0;;;;22.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ";"NIE";"NIE";"Barbara Konopa";;;;;;"6612137957";"123082089";"11567/P";"www.gumisiowylas.pl"
"10335/Z";"Żłobek";"Żyrafka";"DOLNOŚLĄSKIE";"wrocławski";"Kobierzyce";"Bielany Wrocławskie, wieś";"ul. Akacjowa";"6";;"55-040";"16.9709874;51.0375705";"http://zlobek-zyrafka-bielany.pl/";"zyrafka.zlobek@gmail.com";"577066123";"20";"20";;;;;2000.0;0.0;;;;18.5;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"CISEK I ANIŚKIEWICZ s.c.";"Bielany Wrocławskie, wieś";"ul. Borówkowa";"7";"1";"55-040";"8961615267";"522404153";"11645/P";"www.zlobek-zyrafka-bielany.pl"
"10352/Z";"Klub dziecięcy";"BAJLANDIA NIEPUBLICZNE PRZEDSZKOLE I KLUB MALUCHA SPÓŁKA CYWILNA SYLWIA SZYGENDA I EWELINA CHABIERSKA";"WIELKOPOLSKIE";"kaliski";"Brzeziny";"Brzeziny, wieś";"ul. ks. Józefa Kurzawy";"5";;"62-874";"18.2547498;51.5966279";"bajlandia2016@wp.pl";"BAJLANDIA@WP.PL";"794200094";"24";"15";;;;;0.0;0.0;;;0.0;;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"NIE";"BAJLANDIA NIEPUBLICZNE PRZEDSZKOLE I KLUB MALUCHA SPÓŁKA CYWILNA SYLWIA SZYGENDA I EWELINA CHABIERSKA";"Brzeziny, wieś";"ul. ks. Józefa Kurzawy";"5";;"62-874";"9680980490";"365907958";"11577/P";
